Plugin alias,Variable,Description,Possible values,Default
(anytaskalias),taskfeedback-overdue-active,Should the task signal it has been waiting for a response for more than taskfeedback-overdue-delayms,(boolean),False
(anytaskalias),taskfeedback-overdue-color,"Color of the blinking frame, around the task","`white`, `black`, `green`, `red`, `background`, `lightgrey`, `grey`, `blue`",red
(anytaskalias),taskfeedback-overdue-delayms,Delay (ms) after which the overdue feedback will blink,(positive integer),2000
(anytaskalias),Taskfeedback-overdue-blinkduration,"When blinking, delay (ms) between two blinks (1/speed)",(positive integer),1000
sysmon,title,"Title of the task, displayed if the plugin is visible",(string),System monitoring
sysmon,taskplacement,Task location in a 3x2 canvas,"`topleft`, `topmid`, `topright`, `bottomleft`, `bottommid`, `bottomright`, `fullscreen`",topleft
sysmon,taskupdatetime,Delay between plugin updates (ms),(positive integer),200
sysmon,alerttimeout,Maximum duration of a failure (ms),(positive integer),10000
sysmon,automaticsolver,"When True, any failure will be automatically corrected after an `automaticsolverdelay` duration",(boolean),False
sysmon,automaticsolverdelay,"Delay (ms) between a failure onset and its automatic correction, if `automaticsolver` == True",(positive integer),1000
sysmon,displayautomationstate,"If True, the current automation state (MANUAL vs AUTO ON) of the task is displayed.",(boolean),True
sysmon,allowanykey,"If True, the subject can use any system monitoring key, to signal a failure. For instance, he or she could use the F2 key to signal a failure for the F4 gauge.",(boolean),False
sysmon,feedbackduration,"Duration (ms) of feedbacks, if enabled",(positive integer),1500
sysmon,feedbacks-positive-active,Is the positive feedback (correct response) enabled?,(boolean),True
sysmon,feedbacks-positive-color,Color of the positive feedback if enabled,"`white`, `black`, `green`, `red`, `background`, `lightgrey`, `grey`, `blue`",green
sysmon,feedbacks-negative-active,Is the negative feedback (correct response) enabled?,(boolean),True
sysmon,feedbacks-negative-color,Color of the negative feedback if enabled,"`white`, `black`, `green`, `red`, `background`, `lightgrey`, `grey`, `blue`",red
sysmon,lights-1-name,Name of the first (left) light,(string),F5
sysmon,lights-1-failure,Set this to True if you want to trigger a failure,(boolean),False
sysmon,lights-1-default,Which is the default state (no failure) of this light?,`on` or `off`,on
sysmon,lights-1-oncolor,Color of the light when it is `on`,"`white`, `black`, `green`, `red`, `background`, `lightgrey`, `grey`, `blue`",green
sysmon,lights-1-key,Keyboard key to resolve a failure,(keyboard key),F5
sysmon,lights-1-on,Current state of the light,(boolean),True
sysmon,lights-2-name,Name of the second (right) light,(string),F6
sysmon,lights-2-failure,Set this to True if you want to trigger a failure,(boolean),False
sysmon,lights-2-default,Which is the default state (no failure) of this light?,`on` or `off`,off
sysmon,lights-2-oncolor,Color of the light when it is `on`,"`white`, `black`, `green`, `red`, `background`, `lightgrey`, `grey`, `blue`",red
sysmon,lights-2-key,Keyboard key to resolve a failure,(keyboard key),F6
sysmon,lights-2-on,Current state of the light,(boolean),False
sysmon,scales-1-name,Name of the scale #1,(string),F1
sysmon,scales-1-failure,Set this to True if you want to trigger a failure,(boolean),False
sysmon,scales-1-side,"To which side trigger the failure? (0:random, 1:up, -1:down)","-1, 0, 1",0
sysmon,scales-1-key,Keyboard key to resolve a failure,(keyboard key),F1
sysmon,scales-2-name,Name of the scale #2,(string),F2
sysmon,scales-2-failure,Set this to True if you want to trigger a failure,(boolean),False
